variety_0,corrected_variety
C18,PSB Rc 18
NSIC Rc 428 ( Sahod Ulan 19 ),NSIC Rc 428
488,NSIC Rc 488H
NSIC Rc 446H ( Mestiso 73 ),NSIC Rc 446H
NSIC Rc 216,NSIC Rc 216
sl8h,NSIC Rc 132H
R10,PSB Rc 10
rc46,NSIC Rc 460
NSIC Rc 528 ( Salinas 26 ),NSIC Rc 528
409,NSIC Rc 400
NSIC Rc 352 ( Tubigan 27 ),NSIC Rc 352
Nk507,NSIC Rc 234H
rc 18,PSB Rc 18
NSIC Rc 434 ( Sahod Ulan 21 ),NSIC Rc 434
NSIC Rc 146 ( PJ7 ),NSIC Rc 146
JACPOT,NSIC Rc 666H
NSIC Rc 250H ( Mestiso 32 ),NSIC Rc 250H
82,PSB Rc 82
NSIC Rc 212 ( Tubigan 15 ),NSIC Rc 212
Bigante,NSIC Rc 314H
Bolao,Undefined
400,NSIC Rc 400
longpin,NSIC Rc 404H
57,NSIC Rc 372H
LP584,NSIC Rc 486H
NSIC RC 436,NSIC Rc 436
NSIC Rc 142 ( Tubigan 7 ),NSIC Rc 142
SL8J,NSIC Rc 132H
SYGON,Undefined
NSIC Rc 284 ( Sahod Ulan 8 ),NSIC Rc 284
54,NSIC Rc 634
"NK5017, BIGANTE",NSIC Rc 234H
506,NSIC Rc 506
NSIC Rc 604 ( Salinas 34 ),NSIC Rc 604
nk,NSIC Rc 234H
Rc 18,PSB Rc 18
PSB Rc 82,PSB Rc 82
NSIC Rc 550H ( Mestiso 102 ),NSIC Rc 550H
NSIC Rc 238 ( Tubigan 21 ),NSIC Rc 238
PSB Rc 56 ( Dapitan ),PSB Rc 56
NSIC 2014 Rc 382H,NSIC Rc 382H
486H,NSIC Rc 486H
SL7,SL-7
512,NSIC Rc 512
nk5017/habilis,NSIC Rc 234H
53,NSIC Rc 364H
RC34,PSB Rc 34
NSIC Rc 196H ( Mestiso 16 ),NSIC Rc 196H
sl 8h,NSIC Rc 132H
NSIC Rc 330 ( Salinas 13 ),NSIC Rc 330
NSIC Rc 402,NSIC Rc 402
NSIC Rc 164H ( Mestiso 9 ),NSIC Rc 164H
GSR,NSIC Rc 480
Rc160,NSIC Rc 160
SYNGENTA,NSIC Rc 362H
10,PSB Rc 10
rc 218,NSIC Rc 218SR
NSIC Rc 248H ( Mestiso 31 ),NSIC Rc 248H
BIGANTE,NSIC Rc 314H
PSB Rc 52 ( Gandara ),PSB Rc 52
NSIC Rc 408H ( Mestiso 68 ),NSIC Rc 408H
NSIC RC 508,NSIC Rc 508
PHBTI,NSIC Rc 322H
NSIC Rc 200H ( Mestiso 18 ),NSIC Rc 200H
RC 10,PSB Rc 10
PHB78,PHB87
NSIC Rc 380H ( Mestiso  61 ),NSIC Rc 380H
NSIC Rc 350H ( Mestiso 51 ),NSIC Rc 350H
NSIC Rc 126H ( Mestiso 5 ),NSIC Rc 126H
NSIC Rc 148 ( Mabango 2 ),NSIC Rc 148
NSIC Rc 500H ( Mestiso 87 ),NSIC Rc 500H
NSIC Rc 320H ( Mestiso 49 ),NSIC Rc 320H
22,PSB Rc 22
534,NSIC Rc 534
PHB73,NSIC Rc 176H
C2,NSIC Rc 222
NSIC Rc 130 ( Tubigan 3 ),NSIC Rc 130
"PHB79, Bigante Plus",NSIC Rc 322H
27,NSIC Rc 27
us88,NSIC Rc 236H
NSIC Rc 628 ( Tubigan 51 ),NSIC Rc 628
SL-8,SL-8
Bioseed,NSIC Rc 522H
NSIC Rc 420 ( Sahod Ulan 15 ),NSIC Rc 420
438,NSIC Rc 438
Phb79,NSIC Rc 322H
Rc 400,NSIC Rc 400
PHB77,NSIC Rc 492H
BULAW,Undefined
S6003,NSIC Rc 376H
rc436,NSIC Rc 436
NSIC Rc 308 ( Tubigan 26 ),NSIC Rc 308
NSIC Rc 348 ( Sahod Ulan 12 ),NSIC Rc 348
NSIC Rc 340 ( Salinas 18 ),NSIC Rc 340
sl 20,NSIC Rc 540H
NSIC Rc 304SR ( Japonica 3 ),NSIC Rc 304SR
NSIC Rc 516H ( Mestiso 90 ),NSIC Rc 516H
NSIC Rc 542H ( Mestiso 98 ),NSIC Rc 542H
sl8,NSIC Rc 132H
LP/SL-8H,NSIC Rc 404H
SL20H,NSIC Rc 540H
PHB,NSIC Rc 176H
NSIC Rc 286 ( Sahod Ulan 9 ),NSIC Rc 286
nk 5017,NSIC Rc 234H
NSIC Rc 316H ( Mestiso 47 ),NSIC Rc 316H
NSIC Rc 312H ( Mestiso 45 ),NSIC Rc 312H
BIGANTE AND NK,NSIC Rc 314H
BioRice,NSIC Rc 522H
NSIC Rc 354 ( Tubigan 28 ),NSIC Rc 354
NSIC Rc 174H ( Mestiso 12 ),NSIC Rc 174H
Rc 442,NSIC Rc 442
937,NSIC Rc 456H
rc 442,NSIC Rc 442
lp534,NSIC Rc 486H
C10,PSB Rc 10
NSIC Rc 124H ( Mestiso 4 ),NSIC Rc 124H
NSIC Rc 406H ( Mestiso 67 ) Batari Indra01,NSIC Rc 406H
Kapiding,NSIC Rc 456H
NSIC Rc 178H ( Mestiso 14 ),NSIC Rc 178H
NK,NSIC Rc 234H
lp 2096,NSIC Rc 404H
PSB Rc 74 ( Aklan ),PSB Rc 74
phb79,NSIC Rc 322H
5017,NSIC Rc 234H
BOLAO,Undefined
BIGNATE,NSIC Rc 314H
SL-19,SL-19H
LP937,NSIC Rc 456H
pioneer77,NSIC Rc 492H
RC442,NSIC Rc 442
NSIC Rc 21SR ( Malagkit 5 ),NSIC Rc 21SR
NSIC Rc 166H ( Mestiso 10 ),NSIC Rc 166H
bIGANTE PLUS,NSIC Rc 314H
NSIC Rc 578 ( Sahod Ulan 31 ),NSIC Rc 578
A2,Undefined
83,PHB83
Quadra alas,Quadro Alas
rc 22,NSIC Rc 222
PSB Rc 80 ( Pasig ),PSB Rc 80
NSIC Rc 29 ( Katihan 4 ),NSIC Rc 29
580,NSIC Rc 580
Rc480,NSIC Rc 480
KIMBEE,Kimbee 58
NSICRc218,NSIC Rc 218SR
342,NSIC Rc 342SR
PHB937,NSIC Rc 456H
Sl 8h,NSIC Rc 132H
NSIC Rc 208H ( Mestiso 22 ),NSIC Rc 208H
NSIC Rc 256H ( Mestiso 35 ),NSIC Rc 256H
PSB Rc 58 ( Mayapa ),PSB Rc 58
NSIC Rc 200H,NSIC Rc 200H
MIC,Undefined
NSIC Rc 596 ( Sahod Ulan 34 ),NSIC Rc 596
LP534,NSIC Rc 486H
NSIC Rc 504H ( Mestiso 89 ),NSIC Rc 504H
NSIC Rc 418 ( Sahod Ulan 14 ),NSIC Rc 418
NSIC RC132H,NSIC RC132H
NSIC Rc 610 ( Salinas 37 ),NSIC Rc 610
LONGPIN,NSIC Rc 404H
322,NSIC Rc 322H
PSB Rc 20 ( Chico ),PSB Rc 20
408,NSIC Rc 408H
NSIC Rc 298 ( Tubigan 23 ),NSIC Rc 298
NSIC Rc 258H ( Mestiso 36 ),NSIC Rc 258H
68,NSIC Rc 680
NSIC Rc 392 ( Salinas 20 ),NSIC Rc 392
lp 2096/222,NSIC Rc 404H
rc 222`,NSIC Rc 222
sl19,NSIC Rc 488H
0n,Undefined
NSIC Rc 436,NSIC Rc 436
PSB Rc 8 ( Talavera ),PSB Rc 8
NSIC Rc 206H ( Mestiso 21 ),NSIC Rc 206H
LP 2096/SL-8H,NSIC Rc 404H
NSIC Rc 390 ( Salinas 19 ),NSIC Rc 390
Hybrid,Undefined
Longpin,NSIC Rc 404H
P,Undefined
NSIC Rc 454H ( Mestiso 77 ),NSIC Rc 454H
PHB82,TH-82
NSIC Rc 622 ( Tubigan 48 ),NSIC Rc 622
Bigante plus,NSIC Rc 314H
NSIC Rc 462 ( Salinas 21 ),NSIC Rc 462
RC14,NSIC Rc 140
RC436,NSIC Rc 436
rc  222,NSIC Rc 222
DK,Undefined
S6007,NSIC Rc 376H
rc12,NSIC Rc 120
NSIC Rc 568 ( Sahod Ulan 26 ),NSIC Rc 568
NSIC Rc 438,NSIC Rc 438
BULAO,Undefined
406,NSIC Rc 406H
HABILIS,NSIC Rc 410H
NSIC Rc 162H ( Mestiso 8 ),NSIC Rc 162H
Biorice,NSIC Rc 522H
hhy,Undefined
0nk5017,NSIC Rc 234H
Rc 10,PSB Rc 10
Sl8,NSIC Rc 132H
PALAWAN,Undefined
3-,Undefined
Nk5017,NSIC Rc 234H
BIGANTE PLUS,NSIC Rc 314H
NSIC Rc 168H ( Mestiso 11 ),NSIC Rc 168H
2096,NSIC Rc 404H
NSIC Rc 134 ( Tubigan 4 ),NSIC Rc 134
604,NSIC Rc 604
brown rice,Undefined
126,NSIC Rc 216
rc 222,NSIC Rc 222
NSIC Rc 480,NSIC RC 480
C-1,Undefined
NSIC Rc 360 ( Tubigan 31 ),NSIC Rc 360
Us 88,NSIC Rc 236H
NSIC Rc 512,NSIC Rc 512
440,NSIC Rc 440
R-12,Undefined
HABIUS,NSIC Rc 410H
RC 508,NSIC Rc 508
NSIC Rc 401,NSIC Rc 401
Syngenta,NSIC Rc 362H
PSB Rc 2,PSB Rc 2
BIORICE,NSIC Rc 522H
NSIC Rc 270H ( Mestiso 42 ),NSIC Rc 270H
418,NSIC Rc 418
BP,Undefined
NSIC Rc 518H ( Mestiso 91 ),NSIC Rc 518H
REDRICE,NSIC Rc 508
BATURI HABIUSI,NSIC Rc 406H
NSIC Rc 532 ( Salinas 28 ),NSIC Rc 532
pioneer,NSIC Rc 322H
NSIC RC 10,NSIC RC 10
lp937,NSIC Rc 456H
Blonde,Undefined
NSIC Rc,Undefined
Redrice,NSIC Rc 508
"BATARI, PHB79",NSIC Rc 406H
biorice,NSIC Rc 522H
Rc460,NSIC Rc 460
0.5,Undefined
rc 502,NSIC Rc 512
Hatao,Hatao
bolao,Undefined
NSIC Rc 554 ( Salinas 31 ),NSIC Rc 554
NSIC Rc 260H ( Mestiso 37 ),NSIC Rc 260H
312,NSIC Rc 212
NSIC Rc 344SR ( Mabango 5 ),NSIC Rc 344SR
Kasipag,Undefined
rc402,NSIC Rc 402
128,NSIC Rc 128
PH77,NSIC Rc 492H
403,NSIC Rc 402
NSIC Rc 582 ( Tubigan 47 ),NSIC Rc 582
PHB 79,NSIC Rc 322H
SL6,NSIC Rc 132H
H,Undefined
rc 216,NSIC Rc 216
DD,Undefined
sygenta,Undefined
1.5,Undefined
NSIC Rc 342SR ( Mabango 4 ),NSIC Rc 342SR
c18,PSB Rc 18
Rc 480,NSIC Rc 480
LP 534,NSIC Rc 534
NSIC 2016 Rc 480,NSIC Rc 480
346,NSIC Rc 346
rc442,NSIC Rc 442
51,NSIC Rc 350H
sl-h,Undefined
BROWNRICE,Undefined
NSIC Rc 498H ( Mestiso 86 ),NSIC Rc 498H
NSIC Rc 324 ( Salinas 10 ),NSIC Rc 324
Bigante Plus,NSIC Rc 314H
"PHB77, Bigante Plus",NSIC Rc 492H
RC 512,NSIC Rc 512
LUMPING,NSIC Rc 384H
1.8,Undefined
BI,Undefined
phb 79,NSIC Rc 322H
LP 2096,NSIC Rc 404H
NSIC Rc 656H ( Mestiso 112 ),NSIC Rc 656H
BR,Undefined
Bqtari,NSIC Rc 406H
RC134,NSIC Rc 134
A27888,Undefined
NSIC Rc 648 ( Zinc Rice 2 ),NSIC Rc 648
NSIC Rc 630 ( Tubigan 52 ),NSIC Rc 630
RC 160,NSIC Rc 160
Batari,NSIC Rc 406H
hybrid,Undefined
SL88,NSIC Rc 132H
NSIC Rc 640SR ( Pigmented 2 ),NSIC Rc 640SR
0phb 79,NSIC Rc 322H
P77,NSIC Rc 492H
M3,Undefined
152,NSIC Rc 152
6003,NSIC Rc 376H
PSB Rc 18,PSB Rc 18
NSIC Rc 306H ( Mestiso 43 ),NSIC Rc 306H
PSB Rc 76H ( Panay ),PSB Rc 76H
NSIC Rc 396 ( Tubigan 33 ),NSIC Rc 396
0LP,NSIC Rc 384H
Diammond,Undefined
others,Undefined
HABILIS PLUS,NSIC Rc 410H
nSIC Rc 222,NSIC Rc 222
brown,Undefined
PSB Rc 78 ( Pampanga ),PSB Rc 78
NSIC Rc 272 ( Sahod Ulan 2 ),NSIC Rc 272
SUPER LONG PING,NSIC Rc 384H
0.56,Undefined
th 82,TH-82
Jackpot,NSIC Rc 666H
NK17,NSIC Rc 234H
bigantte,NSIC Rc 314H
bulao,Undefined
habilis/bigante,NSIC Rc 314H
RC480,NSIC Rc 480
RC,Undefined
PSB96,Undefined
S6008,NSIC Rc 376H
NSIC Rc402,NSIC Rc 402
Rc402,NSIC Rc 402
RC2116,NSIC Rc 216
BLONDE,Undefined
S2R,Undefined
RC354,NSIC Rc 354
PIONER,NSIC Rc 492H
Nk5017e,NSIC Rc 234H
BROWN RICE,Undefined
NSIC Rc 508,NSIC Rc 508
PIONEER HABILIS,NSIC Rc 492H
INBREED,Undefined
NSIC Rc 466 ( Salinas 23 ),NSIC Rc 466
rc 440,NSIC Rc 440
0.25,Undefined
NSIC Rc 228H ( Mestiso 24 ),NSIC Rc 228H
lav777,LAV 777
sl-8h,NSIC Rc 132H
golden star,Undefined
NSIC Rc 282 ( Sahod Ulan 7 ),NSIC Rc 282
SL-8H/HABILIS,NSIC Rc 132H
79,NSIC Rc 322H
1,Undefined
s6000,NSIC Rc 376H
phb 85,NSIC Rc 664H
NSIC Rc 328 ( Salinas 12 ),NSIC Rc 328
PSB Rc 22 ( Liliw ),PSB Rc 22
CS,Undefined
Dinorado,Undefined
sl19h,NSIC Rc 488H
SL 19,NSIC Rc 488H
ph79,NSIC Rc 322H
NSIC RC,Undefined
Longping 2096,NSIC Rc 404H
jackpot,NSIC Rc 666H
longping,NSIC Rc 404H
SL 20,NSIC Rc 540H
NSIC Rc 614H ( Mestiso 106 ),NSIC Rc 614H
Rc 216,NSIC Rc 216
POCPOCIO,Undefined
NSIC Rc 154 ( Tubigan 11 ),NSIC Rc 154
"BATARI, LP937",NSIC Rc 406H
NSI CRc 442,NSIC Rc 442
Pioneer,NSIC Rc 322H
RED RICE,NSIC Rc 508
NSIC Rc 296 ( Salinas 9 ),NSIC Rc 296
PSB Rc 72H ( Mestizo 1 ),PSB Rc 72H
MR,Undefined
Rc10,PSB Rc 10
560,NSIC Rc 570
R15,NSIC Rc 15
NSIC Rc 310H ( Mestiso 44 ),NSIC Rc 310H
CS10,PSB Rc 10
S60030,NSIC Rc 376H
rfc 222,NSIC Rc 222
RC512,NSIC Rc 512
510,NSIC Rc 510
hy,Undefined
SINANDOMENG,Undefined
Syngante,NSIC Rc 362H
nk2017,NSIC Rc 234H
