variety_0,corrected_variety
NSIC Rc480,NSIC Rc 480
"LP, PHB79",NSIC Rc 404H
111,Undefined
S18H,NSIC Rc 132H
LUMPING 2096,NSIC Rc 404H
RC538,NSIC Rc 528
RC 22,NSIC Rc 222
BIGANT,NSIC Rc 314H
NSIC Rc 214,NSIC Rc 214
AZ278,NSIC Rc 494H
Phb 73,NSIC Rc 176H
2RC 2222,NSIC Rc 222
Bio seed,Undefined
Rc 226,NSIC Rc 226
A2788,NSIC Rc 494H
0phb79,NSIC Rc 322H
SL68H,NSIC Rc 132H
Nsic Rc512,NSIC Rc 512
45,Undefined
NSIC RC402,NSIC Rc 402
SL2,NSIC Rc 540H
0habilis,NSIC Rc 410H
2.25,Undefined
S 88,NSIC Rc 236H
PSB Rc 54,PSB Rc 54
ardani,Undefined
JAPONICA,Undefined
0INBREED,Undefined
"BATARI, NK5017",NSIC Rc 406H
IGANTE,NSIC Rc 314H
N/a,Undefined
Hablis,NSIC Rc 410H
LP437,NSIC Rc 456H
RC 403,Undefined
U85,NSIC Rc 664H
490H,NSIC Rc 490H
sl-8,SL-8
PH879,NSIC Rc 322H
5.81,Undefined
Bordagol,PSB Rc 34
lp937/batari,NSIC Rc 456H
Begante,NSIC Rc 314H
NSIC Rc 456H,NSIC Rc 456H
13,Undefined
p 79,NSIC Rc 322H
NK; 5017,NSIC Rc 234H
136,Undefined
SL.20,NSIC Rc 540H
Sl 19,NSIC Rc 488H
c 18,Undefined
R 12,Undefined
Byte,NSIC Rc 314H
HATAO,Hatao
NSIC RC 132H,NSIC Rc 132H
THS2,TH-82
LP1096,NSIC Rc 404H
LH937,NSIC Rc 456H
BIGANTRE,NSIC Rc 314H
522,Undefined
LP 937/ LP 2096,NSIC Rc 456H
begante Pplus,NSIC Rc 314H
ARDANI,Undefined
LP M2096,NSIC Rc 404H
PSB Rc 54 ( Abra ),PSB Rc 54
PSB Rc 4,PSB Rc 4
PSB Rc 28,PSB Rc 28
Hablisi,NSIC Rc 410H
482,NSIC Rc 482SR
NSIC Rc 584 ( Japonica 7 ),NSIC Rc 584
Bigante0,NSIC Rc 314H
gsr 12,NSIC Rc 480
223,Undefined
Rc 2,Undefined
7.1,Undefined
Rc506y,NSIC Rc 506
Camiguin,Undefined
RC 300,NSIC Rc 300
0.92,Undefined
1.1,Undefined
8160,Undefined
88,NSIC Rc 236H
Rc 300,NSIC Rc 300
BIOSEED 650,BIORICE 650 (BIOSEED)
rc120,NSIC Rc 120
4.5,Undefined
Gloutinous,Undefined
NSIC 2012 Rc 306H,NSIC Rc 306H
S6002,NSIC Rc 376H
BIOIRCE,Undefined
Panawag,Undefined
AZ788,NSIC Rc 494H
15.5,Undefined
NSISCRc160,NSIC Rc 160
MINDORO,Undefined
Rc510,NSIC Rc 510
PSB Rc 6,PSB Rc 6
SL300,Undefined
NSIC 2010 Rc 226,NSIC Rc 226
MAGNOLIA,Undefined
RC404,NSIC Rc 404H
LP737,NSIC Rc 456H
jockpot,NSIC Rc 666H
0.67,Undefined
578,NSIC Rc 578
SABLAY,Undefined
10003,NSIC Rc 376H
30,Undefined
Mestiso 22,NSIC Rc 208H
ec160,NSIC Rc 160
Rc360,NSIC Rc 360
V10,Undefined
red fice,Undefined
438/BOLAO,NSIC Rc 438
PSB Rc 30,PSB Rc 30
11,Undefined
SL 8 H,NSIC Rc 132H
60,Undefined
0bulao,Undefined
FHSS,Undefined
NSIC Rc 400,NSIC Rc 400
PSB Rc 20,PSB Rc 20
NSIC RC 534,NSIC Rc 534
PHB-73,NSIC Rc 176H
NSIC Rc 646SR ( Pigmented 5 ),NSIC Rc 646SR
TH88,TH-82
5.7,Undefined
polutan,Undefined
492,NSIC Rc 492H
[PIONEER,NSIC Rc 588H
japtree,NSIC Rc 666H
PSB Rc 66,PSB Rc 66
r122,NSIC Rc 122
SL9,NSIC Rc 132H
NSIC 2016 Rc 440,NSIC Rc 440
42,Undefined
6,Undefined
480/222,NSIC Rc 480
Bula0,Undefined
NSICRc402,NSIC Rc 402
0.8,Undefined
IR65,Undefined
LP206,NSIC Rc 404H
NSIC RC 502,NSIC Rc 502H
LAWIN,Undefined
t-2,TH-82
B IORICE,Undefined
2.5,Undefined
Rc5506,NSIC Rc 506
BIORCE,Undefined
TUMLAY,Undefined
th32,TH-82
2.77,Undefined
0.4,Undefined
SL 8-H,NSIC Rc 132H
Red28,Undefined
40,Undefined
SH6003,NSIC Rc 376H
NSIC 160,NSIC Rc 160
R.DANY,Undefined
435,Undefined
BIO 453,NSIC Rc 522H
Vietnam Rice,Undefined
1.9,Undefined
HK,Undefined
Glutinous,Undefined
rc1600,NSIC Rc 160
240,NSIC Rc 240
0.34,Undefined
168,NSIC Rc 168H
NSIC Rc 27,NSIC Rc 27
P85,NSIC Rc 664H
LF,NSIC Rc 404H
LP 205,NSIC Rc 412H
LP2091,NSIC Rc 404H
sangenta,Undefined
NSIC Rc-436,NSIC Rc 436
LD2096,NSIC Rc 404H
NSIC RC 514,NSIC Rc 514
BIORICE 650,BIORICE 650 (BIOSEED)
bio,Undefined
GLOUTINOUS,Undefined
BI 453,NSIC Rc 522H
LP957,NSIC Rc 456H
IR 58025A,Undefined
0.35,Undefined
MGO,Undefined
R 506,NSIC Rc 506
PSB Rc 12,PSB Rc 12
470,NSIC Rc 470
2.3,Undefined
VIETNAM,Undefined
3.5,Undefined
NSIC RC 404H,NSIC Rc 404H
AZ-7888,NSIC Rc 494H
5,Undefined
NIC5017,NSIC Rc 234H
ARIZE AZ8433,Arize AZ 8433 DT
SL 9H,NSIC Rc 132H
524,NSIC Rc 524H
NK/C18,NSIC Rc 524H
222/SL8H,NSIC Rc 222
NSIC 2012 Rc 300,NSIC Rc 300
Jasmin,Undefined
93,Undefined
RAMSEY,Undefined
206,NSIC Rc 206H
222/SL8H/PHB79,NSIC Rc 222
ARIZE,Undefined
RC666,NSIC Rc 666H
NSICRc 436,NSIC Rc 436
3003,Undefined
RC 777,Undefined
0RC506,NSIC Rc 506
PSB 77,NSIC Rc 492H
Rcc 222,NSIC Rc 222
7.5,Undefined
841,Undefined
sygenmta,Undefined
Glotinous,Undefined
SL8-H,NSIC Rc 132H
47,NSIC Rc 316H
NSIC RC132,NSIC Rc 132H
NSIC,Undefined
Rc490,NSIC Rc 490H
360,NSIC Rc 360
AZ88433,Arize AZ 8433 DT
T603,Undefined
NSIC 218,NSIC Rc 218SR
Aklan,PSB Rc 74
RAMET,Undefined
BIO650,BIORICE 650 (BIOSEED)
BBIORICE,Undefined
rc604,NSIC Rc 604
C4,Undefined
AZ-8433,Arize AZ 8433 DT
538,NSIC Rc 538H
BARAKO,Undefined
SL200,Undefined
Seventunnel,Undefined
sl-9,NSIC Rc 132H
Rc238,NSIC Rc 238
NSIC Rc 300,NSIC Rc 300
BIGANTA,NSIC Rc 314H
GSR 12,NSIC Rc 480
JACKPOT 102,NSIC Rc 666H
35,Undefined
NSIC Rc 244H,NSIC Rc 244H
NK017,NSIC Rc 234H
PLATINUM,Undefined
NSIC Rc 672 ( Tubigan 57 ),NSIC Rc 672
RCL,Undefined
HYVAR,Undefined
BIGANTEN PLUS,NSIC Rc 314H
0.22,Undefined
sinamdomeng,Undefined
NSIC RC 223,Undefined
BIORIOCE,Undefined
NSICRc,Undefined
0.76,Undefined
BIGANTW=E,NSIC Rc 314H
4.4,Undefined
RIO RICE,Undefined
NSICRc436,NSIC Rc 436
354,NSIC Rc 354
NSIC Rc 616H ( Mestiso 107 ),NSIC Rc 616H
PHB76,Undefined
5.5,Undefined
SL 18,SL-18H
NSIC RC 540H,NSIC Rc 540H
2.6,Undefined
LPP2096,NSIC Rc 404H
1.6,Undefined
Rc 777,Undefined
526,NSIC Rc 526H
Rc66h,Undefined
rcl,Undefined
SL 9,NSIC Rc 132H
NSIC Rc 472 ( Sahod Ulan 22 ),NSIC Rc 472
1.25,Undefined
517H,Undefined
0.6,Undefined
9,Undefined
508/402,NSIC Rc 508
BIORICE-650,BIORICE 650 (BIOSEED)
NSISCRc218,NSIC Rc 218SR
216/508,NSIC Rc 216
336,NSIC Rc 336
Brilliant,Undefined
lp74,Undefined
1.7,Undefined
BOLO,Undefined
BRIO650,BIORICE 650 (BIOSEED)
bio 453,NSIC Rc 522H
62,Undefined
NSIC 2014 Rc 27,NSIC Rc 27
phb89,NSIC Rc 322H
HYRBID,Undefined
SL -19H,NSIC Rc 488H
7,Undefined
404-H,NSIC Rc 404H
LP-2096,NSIC Rc 404H
2.4,Undefined
LP2906,NSIC Rc 404H
pbh73,NSIC Rc 176H
NK8071,NSIC Rc 234H
NSIC Rc 238,NSIC Rc 238
2.44,Undefined
479,Undefined
1.94,Undefined
0.2,Undefined
SL9H,NSIC Rc 132H
M1,Undefined
TH-92,TH-82
habalis,NSIC Rc 410H
JASMIN,Undefined
BATARTI,NSIC Rc 406H
R117,Undefined
0.24,Undefined
11.7,Undefined
213,Undefined
PAC801,Undefined
BIROCE,Undefined
NSIC Rc 222 (Tubigan 18),NSIC Rc 222
IL29,Undefined
s60063,NSIC Rc 376H
4420,NSIC Rc 442
US-88,NSIC Rc 236H
70,Undefined
LP 37,NSIC Rc 456H
SL 20 H,NSIC Rc 540H
GSR8,NSIC Rc 480
RCSG003,NSIC Rc 376H
NSIC Rc 358,NSIC Rc 358
sl8-h,NSIC Rc 132H
2.8,Undefined
NKS017,NSIC Rc 234H
524H,NSIC Rc 524H
-,Undefined
Red ricee,Undefined
3.8,Undefined
14.5,Undefined
JASMINE,Undefined
NSIC RCE 222,NSIC Rc 222
SLH-8,NSIC Rc 132H
27888,NSIC Rc 494H
GLOBAL,Undefined
LP 536,NSIC Rc 486H
SL-20 H,NSIC Rc 540H
NSIC Rc 430,NSIC Rc 430
NSICRc2436,NSIC Rc 436
LONG PING 937,NSIC Rc 456H
glutinous,Undefined
NSIC Rc 384H ( Mestiso  63 ),NSIC Rc 384H
MESTISO 20,NSIC Rc 204H
Quadro 2,Quadro Alas
NS860,Undefined
RCc506,NSIC Rc 506
1212,NSIC Rc 212
0.37,Undefined
Longping0,NSIC Rc 404H
Rv 442,NSIC Rc 442
MSIC Rc 436,NSIC Rc 436
GSR22,NSIC Rc 480
Rc 536,NSIC Rc 536
410,NSIC Rc 410H
1.95,Undefined
NSIC 2011 Rc 256H,NSIC Rc 256H
AZ8433,Arize AZ 8433 DT
phb322,Undefined
white rice,Undefined
DINORADA,Undefined
NSIC Rc 124H,NSIC Rc 124H
LP1232,Undefined
NSIC Rc 534,NSIC Rc 534
RC  218,NSIC Rc 218SR
NSIC Rc 154,NSIC Rc 154
sS6003,NSIC Rc 376H
SL/8H,NSIC Rc 132H
rc1560,NSIC Rc 156
Mestiso 20,NSIC Rc 204H
SL 9-8H,NSIC Rc 132H
SL 19 H,NSIC Rc 448H
NSIC RC 440,NSIC Rc 440
356,NSIC Rc 356
NSIC Rc 372H ( Mestiso 57 ),NSIC Rc 372H
blonde`,Undefined
NA,Undefined
sl16h,Undefined
pulutan,Undefined
PH885,NSIC Rc 664H
Magnolia,Undefined
BOLAO/222,NSIC Rc 222
PHB  73,NSIC Rc 176H
NSIC Rc 670 ( Tubigan 56 ),NSIC Rc 670
JACKPOY,NSIC Rc 666H
BOLAO0,Undefined
PHB-77,NSIC Rc 492H
bilibod,Undefined
S006,NSIC Rc 376H
1.44,Undefined
P798,NSIC Rc 322H
Glutionous,Undefined
NSIC Rc 654H ( Mestiso 111 ),NSIC Rc 654H
gloutinous,Undefined
NSIC RC 400,NSIC Rc 400
0LP534,NSIC Rc 486H
Rc 228,NSIC Rc 228H
rc501,Undefined
LP34,Undefined
NSCIC Rc 222,NSIC Rc 222
NSIC Rc 686 ( Salinas 39 ),NSIC Rc 686
Arize,NSIC Rc 410H
218 (DD),NSIC Rc 218SR
NSIC RC218,NSIC Rc 218SR
348,NSIC Rc 348
405,Undefined
rc105,Undefined
Rc666h,NSIC Rc 666H
LONG PING 2096,NSIC Rc 404H
A2-8433,Arize AZ 8433 DT
IR69726-2 9-1-2-2-2,IR69726-29-1-2-2-2
lpp37,NSIC Rc 456H
NSIC Rc 594 ( Sahod Ulan 33 ),NSIC Rc 594
s6001,NSIC Rc 376H
21y,Undefined
R64,Undefined
2.19,Undefined
UPL Ri1,Undefined
2.7,Undefined
21 6,Undefined
1.84,Undefined
BF,Undefined
0Rc 480,NSIC Rc 480
NIC507,Undefined
489,Undefined
Burdagul,PSB Rc 34
280,NSIC Rc 280
Bigantejj,NSIC Rc 314H
548,NSIC Rc 548H
08SL20,Undefined
GS1212,Undefined
NSIC Rc 208H,NSIC Rc 208H
NSIC RC 436,NSIC Rc 436
NSIC RC 508,NSIC Rc 508
NSIC RC 628,NSIC Rc 628
NSIC Rc 600,NSIC Rc 600
NSIC Rc 632,NSIC Rc 632
NSIC RC 582,NSIC Rc 582
NSIC Rc 634,NSIC Rc 634
NSIC RC 472,NSIC Rc 472
NSIC 2013 Rc 336,NSIC Rc 336
NSIC Rc 624,NSIC Rc 624
